Time,Voltage
-2.0000000300E-07,0.0601560800
-1.9992000300E-07,0.0460935800
-1.9984000300E-07,0.0546873300
-1.9976000300E-07,0.0765623300
-1.9968000300E-07,0.0999998300
-1.9960000300E-07,0.1179686000
-1.9952000300E-07,0.1249998000
-1.9944000300E-07,0.1210936000
-1.9936000300E-07,0.1117186000
-1.9928000300E-07,0.0999998300
-1.9920000300E-07,0.0921873300
-1.9912000300E-07,0.0890623300
-1.9904000300E-07,0.0906248300
-1.9896000300E-07,0.0953123300
-1.9888000300E-07,0.0999998300
-1.9880000300E-07,0.1031248000
-1.9872000300E-07,0.1039061000
-1.9864000300E-07,0.1031248000
-1.9856000300E-07,0.1015623000
-1.9848000300E-07,0.0999998300
-1.9840000300E-07,0.0999998300
-1.9832000300E-07,0.0999998300
-1.9824000300E-07,0.0999998300
-1.9816000300E-07,0.0999998300
-1.9808000300E-07,0.0999998300
-1.9800000300E-07,0.0992185800
-1.9792000300E-07,0.0976560800
-1.9784000300E-07,0.0968748300
-1.9776000300E-07,0.0976560800
-1.9768000300E-07,0.0999998300
-1.9760000300E-07,0.1039061000
-1.9752000300E-07,0.1070311000
-1.9744000300E-07,0.1085936000
-1.9736000300E-07,0.1062498000
-1.9728000300E-07,0.0999998300
-1.9720000300E-07,0.0929685800
-1.9712000300E-07,0.0859373300
-1.9704000300E-07,0.0835935800
-1.9696000300E-07,0.0882810800
-1.9688000300E-07,0.0999998300
-1.9680000300E-07,0.1171873000
-1.9672000300E-07,0.1320311000
-1.9664000300E-07,0.1374998000
-1.9656000300E-07,0.1281248000
-1.9648000300E-07,0.0999998300
-1.9640000300E-07,0.0546873300
-1.9632000300E-07,-0.0000001676
-1.9624000300E-07,-0.0515626700
-1.9616000300E-07,-0.0875001700
-1.9608000300E-07,-0.1000002000
-1.9600000300E-07,-0.0796876700
-1.9592000300E-07,-0.0382814200
-1.9584000300E-07,0.0140623300
-1.9576000300E-07,0.0640623300
-1.9568000300E-07,0.0999998300
-1.9560000300E-07,0.1171873000
-1.9552000300E-07,0.1164061000
-1.9544000300E-07,0.1070311000
-1.9536000300E-07,0.0992185800
-1.9528000300E-07,0.0999998300
-1.9520000300E-07,0.1124998000
-1.9512000300E-07,0.1296873000
-1.9504000300E-07,0.1398436000
-1.9496000300E-07,0.1328123000
-1.9488000300E-07,0.0999998300
-1.9480000300E-07,0.0453123300
-1.9472000300E-07,-0.0203126700
-1.9464000300E-07,-0.0781251700
-1.9456000300E-07,-0.1093752000
-1.9448000300E-07,-0.1000002000
-1.9440000300E-07,-0.0445314200
-1.9432000300E-07,0.0429685800
-1.9424000300E-07,0.1445311000
-1.9416000300E-07,0.2374998000
-1.9408000300E-07,0.2999998000
-1.9400000300E-07,0.3156248000
-1.9392000300E-07,0.2898436000
-1.9384000300E-07,0.2335936000
-1.9376000300E-07,0.1640623000
-1.9368000300E-07,0.0999998300
-1.9360000300E-07,0.0546873300
-1.9352000300E-07,0.0359373300
-1.9344000300E-07,0.0421873300
-1.9336000300E-07,0.0671873300
-1.9328000300E-07,0.0999998300
-1.9320000300E-07,0.1304686000
-1.9312000300E-07,0.1484373000
-1.9304000300E-07,0.1499998000
