Time,Current,Voltage
0,-7.84776339,-0.04000005
8.00E-10,23.54324112,0.1199999
1.60E-09,7.847743771,0.03999995
2.40E-09,39.23874828,0.1999999
3.20E-09,39.23874828,0.1999999
4.00E-09,39.23874828,0.1999999
4.80E-09,70.62976261,0.3599999
5.60E-09,86.32526977,0.4399999
6.40E-09,102.0207769,0.5199999
7.20E-09,117.7162841,0.5999999
8.00E-09,149.1072984,0.7599999
8.80E-09,149.1072984,0.7599999
9.60E-09,211.8893467,1.08
1.04E-08,211.8893467,1.08
1.12E-08,243.280361,1.24
1.20E-08,258.9758682,1.32
1.28E-08,306.0623896,1.56
1.36E-08,337.453404,1.72
1.44E-08,353.1489111,1.8
1.52E-08,415.9309398,2.12
1.60E-08,447.3219541,2.28
1.68E-08,463.0174613,2.36
1.76E-08,494.4084756,2.52
1.84E-08,541.4949971,2.76
1.92E-08,588.5815185,3
2.00E-08,604.2770257,3.08
2.08E-08,635.66804,3.24
2.16E-08,682.7545615,3.48
2.24E-08,714.1455758,3.64
2.32E-08,761.2320973,3.88
2.40E-08,776.9276045,3.96
2.48E-08,824.014126,4.2
2.56E-08,871.1006474,4.44
2.64E-08,886.7961546,4.52
2.72E-08,918.1871689,4.68
2.80E-08,965.2736904,4.92
2.88E-08,980.9691976,5
2.96E-08,1028.055719,5.24
3.04E-08,1059.446733,5.4
3.12E-08,1090.837748,5.56
3.20E-08,1122.228762,5.72
3.28E-08,1153.619776,5.88
3.36E-08,1200.706298,6.12
3.44E-08,1200.706298,6.12
3.52E-08,1247.792819,6.36
3.60E-08,1263.488326,6.44
3.68E-08,1294.879341,6.6
3.76E-08,1341.965862,6.84
3.84E-08,1373.356877,7
3.92E-08,1389.052384,7.08
4.00E-08,1420.443398,7.24
4.08E-08,1436.138905,7.32
4.16E-08,1467.52992,7.48
4.24E-08,1498.920934,7.64
4.32E-08,1514.616441,7.72
4.40E-08,1561.702963,7.96
4.48E-08,1577.39847,8.04
4.56E-08,1593.093977,8.12
4.64E-08,1608.789484,8.2
4.72E-08,1640.180498,8.36
4.80E-08,1655.876005,8.44
4.88E-08,1671.571513,8.52
4.96E-08,1702.962527,8.68
5.04E-08,1718.658034,8.76
5.12E-08,1734.353541,8.84
5.20E-08,1750.049048,8.92
5.28E-08,1781.440063,9.08
5.36E-08,1781.440063,9.08
5.44E-08,1797.13557,9.16
5.52E-08,1828.526584,9.32
5.60E-08,1844.222091,9.4
5.68E-08,1859.917599,9.48
5.76E-08,1875.613106,9.56
5.84E-08,1891.308613,9.64
5.92E-08,1907.00412,9.72
6.00E-08,1922.699627,9.8
6.08E-08,1922.699627,9.8
6.16E-08,1922.699627,9.8
6.24E-08,1954.090642,9.96
6.32E-08,1954.090642,9.96
6.40E-08,1969.786149,10.04
6.48E-08,1969.786149,10.04
6.56E-08,2001.177163,10.2
6.64E-08,1985.481656,10.12
6.72E-08,2001.177163,10.2
6.80E-08,2001.177163,10.2
6.88E-08,2016.87267,10.28
6.96E-08,2016.87267,10.28
7.04E-08,2032.568177,10.36
7.12E-08,2016.87267,10.28
7.20E-08,2016.87267,10.28
7.28E-08,2032.568177,10.36
7.36E-08,2032.568177,10.36
7.44E-08,2016.87267,10.28
7.52E-08,2032.568177,10.36
7.60E-08,2032.568177,10.36
7.68E-08,2048.263685,10.44
7.76E-08,2032.568177,10.36
7.84E-08,2016.87267,10.28
7.92E-08,2032.568177,10.36
8.00E-08,2032.568177,10.36
8.08E-08,2016.87267,10.28
8.16E-08,2016.87267,10.28
8.24E-08,2032.568177,10.36
8.32E-08,2001.177163,10.2
8.40E-08,2001.177163,10.2
8.48E-08,2001.177163,10.2
8.56E-08,1985.481656,10.12
8.64E-08,1985.481656,10.12
8.72E-08,1969.786149,10.04
8.80E-08,1969.786149,10.04
8.88E-08,1954.090642,9.96
8.96E-08,1954.090642,9.96
9.04E-08,1938.395134,9.88
9.12E-08,1922.699627,9.8
9.20E-08,1907.00412,9.72
9.28E-08,1891.308613,9.64
9.36E-08,1891.308613,9.64
9.44E-08,1875.613106,9.56
9.52E-08,1844.222091,9.4
9.60E-08,1844.222091,9.4
9.68E-08,1844.222091,9.4
9.76E-08,1797.13557,9.16
9.84E-08,1781.440063,9.08
9.92E-08,1765.744556,9
1.00E-07,1750.049048,8.92
1.01E-07,1734.353541,8.84
1.02E-07,1734.353541,8.84
1.02E-07,1702.962527,8.68
1.03E-07,1702.962527,8.68
1.04E-07,1655.876005,8.44
1.05E-07,1655.876005,8.44
1.06E-07,1640.180498,8.36
1.06E-07,1593.093977,8.12
1.07E-07,1577.39847,8.04
1.08E-07,1561.702963,7.96
1.09E-07,1546.007455,7.88
1.10E-07,1514.616441,7.72
1.10E-07,1498.920934,7.64
1.11E-07,1467.52992,7.48
1.12E-07,1451.834412,7.4
1.13E-07,1436.138905,7.32
1.14E-07,1404.747891,7.16
1.14E-07,1373.356877,7
1.15E-07,1357.661369,6.92
1.16E-07,1310.574848,6.68
1.17E-07,1294.879341,6.6
1.18E-07,1263.488326,6.44
1.18E-07,1232.097312,6.28
1.19E-07,1216.401805,6.2
1.20E-07,1185.010791,6.04
1.21E-07,1137.924269,5.8
1.22E-07,1122.228762,5.72
1.22E-07,1090.837748,5.56
1.23E-07,1059.446733,5.4
1.24E-07,1043.751226,5.32
1.25E-07,996.6647047,5.08
1.26E-07,980.9691976,5
1.26E-07,965.2736904,4.92
1.27E-07,918.1871689,4.68
1.28E-07,902.4916618,4.6
1.29E-07,871.1006474,4.44
1.30E-07,839.7096331,4.28
